Module name, underlying :term:`Universal Function <ufunc>`
Absolute, `absolute <https://numpy.org/doc/stable/reference/generated/numpy.absolute.html>`_
Arccos, `arccos <https://numpy.org/doc/stable/reference/generated/numpy.arccos.html>`_
Arccosh, `arccosh <https://numpy.org/doc/stable/reference/generated/numpy.arccosh.html>`_
Arcsin, `arcsin <https://numpy.org/doc/stable/reference/generated/numpy.arcsin.html>`_
Arcsinh, `arcsinh <https://numpy.org/doc/stable/reference/generated/numpy.arcsinh.html>`_
Arctan, `arctan <https://numpy.org/doc/stable/reference/generated/numpy.arctan.html>`_
Arctanh, `arctanh <https://numpy.org/doc/stable/reference/generated/numpy.arctanh.html>`_
Cbrt, `cbrt <https://numpy.org/doc/stable/reference/generated/numpy.cbrt.html>`_
Ceil, `ceil <https://numpy.org/doc/stable/reference/generated/numpy.ceil.html>`_
Conjugate, `conjugate <https://numpy.org/doc/stable/reference/generated/numpy.conjugate.html>`_
Cos, `cos <https://numpy.org/doc/stable/reference/generated/numpy.cos.html>`_
Cosh, `cosh <https://numpy.org/doc/stable/reference/generated/numpy.cosh.html>`_
Deg2rad, `deg2rad <https://numpy.org/doc/stable/reference/generated/numpy.deg2rad.html>`_
Degrees, `degrees <https://numpy.org/doc/stable/reference/generated/numpy.degrees.html>`_
Exp, `exp <https://numpy.org/doc/stable/reference/generated/numpy.exp.html>`_
Exp2, `exp2 <https://numpy.org/doc/stable/reference/generated/numpy.exp2.html>`_
Expm1, `expm1 <https://numpy.org/doc/stable/reference/generated/numpy.expm1.html>`_
Fabs, `fabs <https://numpy.org/doc/stable/reference/generated/numpy.fabs.html>`_
Floor, `floor <https://numpy.org/doc/stable/reference/generated/numpy.floor.html>`_
Frexp, `frexp <https://numpy.org/doc/stable/reference/generated/numpy.frexp.html>`_
Invert, `invert <https://numpy.org/doc/stable/reference/generated/numpy.invert.html>`_
Isfinite, `isfinite <https://numpy.org/doc/stable/reference/generated/numpy.isfinite.html>`_
Isinf, `isinf <https://numpy.org/doc/stable/reference/generated/numpy.isinf.html>`_
Isnan, `isnan <https://numpy.org/doc/stable/reference/generated/numpy.isnan.html>`_
Isnat, `isnat <https://numpy.org/doc/stable/reference/generated/numpy.isnat.html>`_
Log, `log <https://numpy.org/doc/stable/reference/generated/numpy.log.html>`_
Log10, `log10 <https://numpy.org/doc/stable/reference/generated/numpy.log10.html>`_
Log1p, `log1p <https://numpy.org/doc/stable/reference/generated/numpy.log1p.html>`_
Log2, `log2 <https://numpy.org/doc/stable/reference/generated/numpy.log2.html>`_
LogicalNot, `logical_not <https://numpy.org/doc/stable/reference/generated/numpy.logical_not.html>`_
Modf, `modf <https://numpy.org/doc/stable/reference/generated/numpy.modf.html>`_
Negative, `negative <https://numpy.org/doc/stable/reference/generated/numpy.negative.html>`_
Positive, `positive <https://numpy.org/doc/stable/reference/generated/numpy.positive.html>`_
Rad2deg, `rad2deg <https://numpy.org/doc/stable/reference/generated/numpy.rad2deg.html>`_
Radians, `radians <https://numpy.org/doc/stable/reference/generated/numpy.radians.html>`_
Reciprocal, `reciprocal <https://numpy.org/doc/stable/reference/generated/numpy.reciprocal.html>`_
Rint, `rint <https://numpy.org/doc/stable/reference/generated/numpy.rint.html>`_
Sign, `sign <https://numpy.org/doc/stable/reference/generated/numpy.sign.html>`_
Signbit, `signbit <https://numpy.org/doc/stable/reference/generated/numpy.signbit.html>`_
Sin, `sin <https://numpy.org/doc/stable/reference/generated/numpy.sin.html>`_
Sinh, `sinh <https://numpy.org/doc/stable/reference/generated/numpy.sinh.html>`_
Spacing, `spacing <https://numpy.org/doc/stable/reference/generated/numpy.spacing.html>`_
Sqrt, `sqrt <https://numpy.org/doc/stable/reference/generated/numpy.sqrt.html>`_
Square, `square <https://numpy.org/doc/stable/reference/generated/numpy.square.html>`_
Tan, `tan <https://numpy.org/doc/stable/reference/generated/numpy.tan.html>`_
Tanh, `tanh <https://numpy.org/doc/stable/reference/generated/numpy.tanh.html>`_
Trunc, `trunc <https://numpy.org/doc/stable/reference/generated/numpy.trunc.html>`_
